accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
-0.097957442,-0.249151125,-0.439068321,-0.54671089,128,-0.341333397,-0.01658382,-0.209234281
-0.596724087,-0.249151125,-0.439068321,-0.54671089,135,1.03951877,-0.01658382,-0.311790597
-0.596724087,-0.249151125,-0.439068321,-0.54671089,90,-0.065162964,-0.01658382,-0.311790597
-0.596724087,-0.249151125,-0.439068321,-0.54671089,102,0.763348336,-0.016614664,-0.311790597
-0.097957442,-0.249151125,-0.439068321,-0.54671089,99,-0.341333397,-0.016615003,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,195,-0.341333397,-0.01658382,-0.482717791
0.400809202,-0.249151125,-0.439068321,0.29718053,160,-0.341333397,-0.01658382,1.500037657
-0.596724087,-0.249151125,-0.439068321,-0.54671089,95,-0.341333397,-0.01658382,-0.482717791
-0.596724087,-0.249151125,-0.439068321,-0.54671089,120,-0.341333397,-0.01658382,-0.51690323
1.39834249,0.940156198,1.265139688,1.14107195,249,-0.065162964,-0.016610463,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,88,0.21100747,-0.01658382,-0.482717791
-0.596724087,-0.249151125,-0.439068321,-0.54671089,90,-0.341333397,-0.01658382,-0.448532352
-0.596724087,-0.249151125,-0.439068321,-0.54671089,125,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,85,0.21100747,-0.016615144,4.43998539
-0.097957442,-0.249151125,-0.439068321,0.29718053,400,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,120,-0.065162964,-0.01658382,-0.24341972
3.393409067,3.318770845,1.265139688,1.984963371,215,-0.065162964,-0.016564084,0.474474494
-0.596724087,-0.249151125,-1.291172325,-0.54671089,90,-0.065162964,-0.016615426,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,50,-0.065162964,-0.016608772,0.269361861
0.899575846,-0.249151125,-0.439068321,0.29718053,100,-0.341333397,-0.01658382,-0.106677965
0.400809202,0.940156198,1.265139688,0.29718053,65,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,55,-0.065162964,-0.016614693,-0.380161475
2.395875779,2.129463521,2.117243692,-0.54671089,129,-0.341333397,-0.016615397,1.465852218
-1.095490731,-0.249151125,-0.439068321,-0.54671089,45,-0.341333397,-0.01658382,-0.380161475
0.899575846,0.940156198,1.265139688,0.29718053,299,0.21100747,-0.016605247,0.645401688
0.899575846,0.940156198,1.265139688,0.29718053,309,0.487177903,-0.016605247,-0.24341972
1.897109134,0.940156198,-0.439068321,1.984963371,375,-0.341333397,-0.01658382,-0.51690323
0.400809202,0.940156198,1.265139688,1.14107195,180,1.315689203,-0.016614946,1.12399783
0.400809202,-0.249151125,-0.439068321,-0.54671089,149,0.21100747,-0.01658382,0.57703081
0.899575846,0.940156198,1.265139688,1.14107195,337,0.21100747,-0.01658382,-0.311790597
0.400809202,0.940156198,1.265139688,0.29718053,299,0.21100747,-0.016594956,-0.277605159
-0.097957442,-0.249151125,-0.439068321,-0.54671089,249,0.487177903,-0.016605247,-0.311790597
-0.097957442,-1.438458448,0.413035683,-0.54671089,126,-0.065162964,-0.01658382,-0.345976036
-0.596724087,-0.249151125,-0.439068321,-0.54671089,99,-0.341333397,-0.01658382,-0.482717791
0.400809202,0.940156198,1.265139688,0.29718053,299,0.21100747,-0.016605247,-0.448532352
-0.596724087,-0.249151125,-0.439068321,-0.54671089,199,1.315689203,-0.01658382,-0.482717791
-0.097957442,-0.249151125,-0.439068321,1.14107195,89,-0.341333397,-0.01658382,-0.482717791
-0.596724087,-1.438458448,-0.439068321,-0.54671089,165,-0.341333397,-0.01658382,-0.51690323
0.400809202,0.940156198,1.265139688,0.29718053,309,0.487177903,-0.016605247,-0.482717791
-0.596724087,-1.438458448,-0.439068321,-0.54671089,115,-0.341333397,-0.01658382,-0.51690323
0.400809202,-0.249151125,-0.439068321,0.29718053,130,-0.341333397,-0.01658382,2.388859064
-0.596724087,-0.249151125,1.265139688,-0.54671089,95,-0.341333397,-0.01658382,-0.51690323
-1.095490731,-0.249151125,-0.439068321,-0.54671089,50,-0.065162964,-0.01658382,-0.311790597
-0.097957442,-0.249151125,-0.439068321,-0.54671089,569,0.21100747,-0.01658382,-0.51690323
-1.095490731,-0.249151125,-0.439068321,-0.54671089,55,4.905904836,-0.016614946,-0.51690323
-0.596724087,-0.249151125,0.413035683,-0.54671089,49,-0.341333397,-0.01658382,-0.414346914
0.400809202,0.940156198,-0.439068321,0.29718053,250,0.21100747,-0.01658382,-0.380161475
0.899575846,0.940156198,1.265139688,1.14107195,311,0.21100747,-0.01658382,-0.414346914
-0.596724087,-1.438458448,-0.439068321,-0.54671089,95,-0.065162964,-0.016614721,0.679587126
-1.095490731,-0.249151125,-0.439068321,0.29718053,59,-0.341333397,-0.01658382,-0.482717791
-0.596724087,-0.249151125,-0.439068321,-0.54671089,167,0.763348336,-0.01658382,0.542845371
-0.097957442,-0.249151125,-0.439068321,-0.54671089,165,-0.341333397,-0.01658382,-0.51690323
-0.097957442,-0.249151125,0.413035683,-0.54671089,104,-0.065162964,-0.01658382,-0.140863404
0.400809202,-0.249151125,-0.439068321,1.14107195,159,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-1.438458448,-0.439068321,-0.54671089,190,0.21100747,-0.01658382,-0.072492526
-0.097957442,-0.249151125,-0.439068321,0.29718053,246,0.21100747,-0.01658382,-0.51690323
-0.097957442,-0.249151125,-0.439068321,0.29718053,200,-0.065162964,-0.01658382,-0.038307087
-0.097957442,-0.249151125,-0.439068321,0.29718053,215,-0.341333397,-0.01658382,0.645401688
0.400809202,0.940156198,1.265139688,0.29718053,450,-0.341333397,-0.01658382,-0.51690323
-0.097957442,-0.249151125,-0.439068321,-0.54671089,234,0.21100747,-0.01658382,-0.51690323
-0.596724087,-0.249151125,0.413035683,-0.54671089,110,-0.065162964,-0.01658382,0.611216249
0.400809202,0.940156198,1.265139688,0.29718053,225,0.21100747,-0.016614693,-0.51690323
-0.097957442,-0.249151125,-0.439068321,-0.54671089,249,0.487177903,-0.016605247,-0.380161475
-0.596724087,-0.249151125,-0.439068321,-0.54671089,109,-0.341333397,-0.01658382,-0.51690323
0.400809202,0.940156198,1.265139688,0.29718053,250,0.21100747,-0.01658382,-0.482717791
0.400809202,-0.249151125,-0.439068321,-0.54671089,135,-0.065162964,-0.01658382,-0.448532352
-0.097957442,-0.249151125,1.265139688,0.29718053,87,-0.065162964,-0.016614693,-0.448532352
0.400809202,-0.249151125,-0.439068321,-0.54671089,210,-0.341333397,-0.016613001,3.004196962
3.393409067,2.129463521,1.265139688,3.672746211,300,0.21100747,-0.01658382,-0.345976036
-0.596724087,-1.438458448,-0.439068321,-0.54671089,189,0.487177903,-0.016605247,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,120,-0.341333397,-0.01658382,-0.51690323
-0.596724087,-0.249151125,-0.439068321,-0.54671089,200,-0.341333397,-0.01661551,-0.482717791
-0.097957442,-0.249151125,-0.439068321,0.29718053,269,-0.341333397,-0.01658382,-0.311790597
-0.097957442,-0.249151125,-0.439068321,-0.54671089,569,0.21100747,-0.01658382,-0.51690323
0.400809202,0.940156198,1.265139688,0.29718053,120,-0.341333397,-0.01658382,-0.414346914
-1.095490731,-0.249151125,-0.439068321,-0.54671089,109,-0.065162964,-0.016615397,-0.482717791
